10	10	50	2
loc-1
loc-2
loc-3
loc-4
loc-5
loc-6
loc-7
loc-8
loc-9
loc-10
   1	4503	3116	4033	5030	1631	0335	4419	3632	3244	3336	
   1	4007	0904	4742	4315	1219	3228	3632	2013	3214	4224	
   1	0943	1131	3320	3010	3825	0212	1246	1708	1527	4026	
   1	2032	4031	0841	0310	4110	1415	1401	4521	0118	3917	
   1	3037	4627	4019	2816	3705	2727	0814	2848	2439	3904	
   1	3307	2342	4709	0218	2713	1421	2429	1020	3048	2120	
   1	2110	4209	0121	1445	0545	1243	0829	0733	4646	3111	
   1	0749	3110	1737	1940	3341	3405	4027	1634	3606	4120	
   1	4046	1341	2748	0630	1314	1138	1913	3645	5027	2103	
   1	1215	0542	4209	3112	1450	0127	0715	4607	1521	4628	
   2	4726	0328	0737	5003	4450	2931	3733	2137	3228	2102	
   2	2011	3334	3325	3831	1413	3743	4801	4736	2830	3420	
   2	3841	1505	4246	0316	0241	1804	4528	3334	2627	2824	
   2	2650	4904	0720	0150	4129	2021	2510	0735	1106	3030	
   2	3502	1333	3044	1806	2031	1049	4943	2640	4950	3215	
   2	1810	4841	2128	4141	2747	1303	2515	3218	3322	4211	
   2	3613	3111	2543	3811	4549	4418	4712	3230	2610	3025	
   2	1834	0136	1748	2048	2521	2224	4340	0925	0923	4821	
   2	4236	1620	2824	0721	4949	4721	4611	4914	0649	0129	
   2	1438	2124	2736	2850	0520	1241	3622	3221	3734	3421	
   3	3810	2343	2230	1427	4134	1029	3723	4417	0717	2638	
   3	0549	3033	0240	2412	3728	4239	3619	3342	1518	0736	
   3	0742	4839	2804	4202	1102	2628	0431	0944	4913	4604	
   3	4018	0749	2919	1209	3716	0309	1534	3147	1122	2319	
   3	4335	2738	4435	0722	2507	1148	3704	3607	2205	4030	
   3	0429	2406	1217	0204	4949	1410	4747	1536	4438	2216	
   3	0506	3640	2231	1716	3446	0408	1122	1420	2101	0423	
   3	4828	2132	3922	2741	3640	0202	0940	4518	3422	2335	
   3	1027	1216	3836	3920	3341	1747	3007	3101	3022	0437	
   3	0710	3650	1742	3023	0842	2848	1109	4740	1429	1430	
   4	3740	3901	3105	3147	4026	3932	4919	2535	2725	2446	
   4	3311	4228	0534	2445	2734	4850	4340	0909	4247	0926	
   4	3439	0336	2825	0307	3143	3919	3347	4722	4229	0516	
   4	4006	4243	0311	0829	2929	3410	3505	4301	1331	1928	
   4	0416	2450	1135	3441	4603	3621	2610	3714	2031	0115	
   4	0449	3402	4843	0313	1519	2903	2545	0335	4349	2416	
   4	4733	2416	2137	3332	4427	2033	4208	0849	4933	4730	
   4	0149	2601	1210	4116	2816	0606	2608	4017	3310	4822	
   4	1013	2816	2735	3213	2815	0316	3616	0816	1426	0233	
   4	0349	2527	3726	4738	1533	0436	4645	0843	2545	3823	
   5	3844	1943	5046	0526	2450	2442	3225	2611	0648	0923	
   5	3637	0618	5015	0106	3308	2903	1024	4618	3121	2021	
   5	2505	3722	0227	2745	0317	2510	0348	4639	3540	1726	
   5	0644	1922	3120	3812	3242	2046	4707	3713	2635	1650	
   5	1341	0550	2833	1039	1207	1931	1241	4221	3407	2726	
   5	1242	1521	0420	2637	4221	2735	2937	0312	3232	2810	
   5	3302	0628	4038	2835	3206	4849	0620	4801	2317	0326	
   5	2548	4310	1108	0932	0419	0427	4025	0530	1141	4423	
   5	2102	0335	0905	2724	5026	4119	1921	3743	0248	0541	
   5	3133	5035	4537	1932	0848	2826	3108	1046	0726	3421	
   6	2801	4806	2048	1105	3942	5036	4343	4904	3942	0903	
   6	1720	3113	1137	3414	2416	2333	4307	0740	0925	4133	
   6	0144	1743	2838	0343	3043	3811	3842	5006	4125	5005	
   6	4616	3739	2328	0919	0418	4108	3816	1043	1741	2030	
   6	4513	3234	0426	2315	4737	0730	0450	1031	3847	2512	
   6	2416	3406	1102	3034	2525	4726	4840	4831	2427	2421	
   6	1613	2921	4712	2849	3544	2033	3141	5031	1101	2343	
   6	1436	4405	2346	1035	4931	2040	3846	5009	4415	2043	
   6	4912	2314	3842	4741	4047	3033	1650	0829	0918	2520	
   6	0546	2716	4913	4439	4716	1532	1607	1250	4907	2616	
   7	4007	4640	4319	2036	0733	0436	5001	1333	2005	1309	
   7	0132	0104	1916	4549	4311	4811	3908	0610	1734	3407	
   7	1731	2404	0733	1608	0813	0147	4525	3621	3235	3143	
   7	2127	0533	1249	4442	0445	0728	4724	1715	3549	0820	
   7	1932	0313	2020	1207	0507	2317	2649	3724	3608	3517	
   7	1718	3723	3830	3647	2441	2422	3241	2343	4616	4343	
   7	0423	3627	1027	0930	1114	0845	1715	5007	1621	3011	
   7	1527	3130	1505	0842	4043	3717	3444	3409	4429	2704	
   7	2924	3003	3946	0542	0838	1535	1907	2401	2543	1828	
   7	5006	2843	4727	0547	0307	3410	1637	2408	2114	3832	
   8	3749	2128	2001	2722	2348	2635	1728	4506	4921	5012	
   8	2144	1525	4205	4432	3925	1645	0337	4421	0918	1416	
   8	0720	2639	1349	2604	2822	1010	1534	2134	2919	3715	
   8	1143	4246	1536	0528	1828	1235	2405	4814	1647	2250	
   8	1346	3931	1407	3304	0327	2937	1902	2519	3829	3632	
   8	2713	4044	4135	2847	2204	3750	1831	4133	1606	3224	
   8	1418	1235	3005	3047	3236	5007	4416	0837	3937	2203	
   8	1633	0949	1214	4130	1039	1025	3912	1108	0524	1737	
   8	2918	1412	4111	4148	0627	4126	1518	3027	3914	1739	
   8	1844	4420	3012	0513	2519	3131	3945	1443	0615	2136	
   9	4724	0744	0643	1418	2702	4402	4708	3017	1513	4420	
   9	2514	3642	3933	1934	0841	0936	2547	4612	1726	1520	
   9	4145	3942	1325	4121	3102	1042	2747	4538	4932	2102	
   9	0448	5022	4515	1634	1419	1428	1833	2630	0543	3035	
   9	2034	0437	0734	3532	1335	4536	3703	4504	3043	0410	
   9	4635	3302	0234	3819	1916	2410	4127	1717	4712	2041	
   9	2719	4418	3902	1321	3939	0326	4237	0607	0246	3418	
   9	2121	4628	1001	3227	4702	3216	1902	0446	2513	0420	
   9	4345	2549	0113	3006	0829	0301	4519	4011	0527	3625	
   9	4115	3810	2342	4345	2012	4423	0650	2328	0244	2402	
  10	4035	4810	4416	2449	3107	3048	2908	4002	2140	4723	
  10	0314	2321	4124	4513	2001	2515	1024	4150	5005	1016	
  10	0135	0844	1927	4331	4915	1248	1303	4413	4231	2537	
  10	1706	2923	0407	2135	2905	0602	3833	0221	0825	2540	
  10	0610	0124	2709	0749	1342	3936	3314	3741	0602	2350	
  10	1839	1005	2830	4431	0950	1211	2304	0215	3246	1606	
  10	2736	0739	3609	1147	4835	4329	2019	1543	1142	0306	
  10	0632	0207	1803	0949	3045	3002	3215	3443	0547	3846	
  10	2716	4822	3433	0741	4123	4207	3538	2516	2138	4238	
  10	1117	5039	3446	0603	0810	1433	0431	0204	2047	3723	
